Team1Name,Team1Score,Team2Name,Team2Score,Team1MasseyRating,Team2MasseyRating
Vanderbilt,105,Lipscomb,61,24.154102986278797,-2.2704298007365584
Virginia,87,Rider,53,20.91879714221833,-17.261706725421675
Virginia Tech,98,Charleston So,67,13.649896701268442,-6.340856798534731
WKU,82,Tennessee Tech,70,0.4252617180430557,-14.281089336240143
W Michigan,76,Coastal Car,71,-7.971093026343999,-7.357081216042199
Wake Forest,88,American Univ,74,12.26856625050307,-6.396969179237704
Washington,94,Ark Pine Bluff,50,15.817584011338012,-13.668354319462967
WI Milwaukee,90,Hampton,86,-6.744387041618924,-8.456384002540549
Winthrop,81,Queens NC,74,1.3368316881639872,-4.175091457795946
Wisconsin,96,Campbell,64,16.984647164159234,-4.608704820965019
Xavier,66,Marist,62,7.778365709841898,-1.1747337528313329
Cal Baptist,87,SC Upstate,75,2.1953924231003668,-9.147789259024785
Utah Tech,81,South Dakota,79,-3.4850425266828218,-8.241126626447448
Arizona St,81,Southern Utah,64,10.603952967409308,-11.107617721609282
Duke,75,Texas,60,30.47631292494664,17.79158970367343
East Carolina,92,Ga Southern,89,-6.938769569086803,-8.452463657169565
Florida St,108,Alcorn St,76,8.465280031603305,-20.10652752334088
Iowa,101,Robert Morris,69,21.236487010988846,-3.837549906546749
Kansas St,93,UNC Greensboro,64,10.199483531346415,-12.065434872466879
Kentucky,77,Nicholls St,51,20.62694485238151,-6.207446160282377
Nevada,77,Louisiana Tech,50,12.180469852648914,-5.691689472397247
NJIT,72,Fordham,61,-14.80646949052454,-0.05904195752884017
Oklahoma St,95,Oral Roberts,71,13.86708154452552,-11.75823476123825
Oregon,60,Hawaii,59,8.997587225487342,8.020968123203241
Purdue,82,Evansville,51,26.152648451209974,-7.795268693393136
San Diego St,77,Long Beach St,45,14.954913190967044,-4.652494408015093
South Carolina,91,NC A&T,72,8.258663769478087,-8.135106985044182
Stanford,89,Portland St,79,11.495746482735854,2.2902438567068213
Texas Tech,98,Lindenwood,60,22.11626746517065,-7.15310794555327
TN Martin,86,UNLV,81,-3.7745856292540623,3.1267531403743414
Valparaiso,66,E Illinois,63,0.7826673040916575,-12.380585287610003
West Virginia,70,Mt St Mary's,54,12.114842312208815,-11.970313880036324
Wichita St,75,UNC Asheville,58,8.433712769495724,-4.515129557592766
Butler,88,Southern Indiana,58,12.436267405379676,-14.295320327497267
Creighton,92,South Dakota,76,10.984102719717837,-8.241126626447448
Georgia,94,MD E Shore,29,20.02973847054447,-15.28346349833095
Indiana,98,Alabama A&M,51,18.87384006863379,-12.721138316688517
La Salle,87,Coppin St,59,-4.388475820600071,-27.640739737591698
Loy Marymount,70,E Washington,62,1.5500504379175963,-5.263958334345224
LSU,96,Tarleton St,60,14.712317974153333,-2.827342432024417
Marquette,100,Southern Univ,82,6.499579672447203,-11.076179678502223
Mississippi St,86,North Alabama,62,8.973566181550307,-15.019555502687506
New Mexico,76,East Texas A&M,54,14.880097023188116,-10.24868267858815
Rutgers,81,Rider,53,2.795178359596027,-17.261706725421675
SC Upstate,67,Fresno St,66,-9.147789259024785,4.073803256746674
Temple,83,Delaware St,65,1.6101601066860876,-20.10207053375217
UC Davis,80,N Dakota St,68,-0.8434486910801374,2.046795939331589
Abilene Chr,73,NE Omaha,71,-7.721991269551377,-6.6809771450146105
Auburn,95,Merrimack,57,19.144250770747117,-5.674283720960461
Boston College,76,Citadel,47,3.54890302348592,-15.588927891729995
California,77,Wright St,67,13.447545319841446,1.3021861730347852
Florida,104,North Florida,64,26.39081761428366,-15.534483522416355
Iowa St,102,Grambling,62,28.277104289911488,-10.144108684165358
LIU Brooklyn,94,IUPUI,90,-3.546335998209576,-12.491570369997088
Louisville,106,Jackson St,70,24.611732488445927,-19.547308217380763
Miami FL,101,Bethune-Cookman,61,17.78517891833293,-7.810451810139458
North Texas,80,Northwestern LA,53,0.7410214367989679,-9.19667857822737
Northern Iowa,86,CS Northridge,57,5.785582448008606,-2.1109082342198446
Ohio,72,Illinois St,68,-2.458559640908652,8.933861719167899
Portland,83,Ark Pine Bluff,74,-0.9276049727698782,-13.668354319462967
