Team1Name,Team1Score,Team2Name,Team2Score,Team1MasseyRating,Team2MasseyRating
Canisius,70,Maine,43,-17.060558122515523,-16.277077360329795
Central Conn,84,Binghamton,67,-10.69680210540559,-21.707046613042007
Clemson,70,Mercer,63,17.882590338253785,0.5840288415363489
Colorado,88,UT San Antonio,64,10.951503521035468,-15.648689776756592
CS Fullerton,105,Denver,86,-2.1915793640363734,-6.718963056154548
CS Northridge,88,Delaware,66,-2.1109082342198446,-8.317869143575352
Dartmouth,77,Boston Univ,64,-5.458928015720884,-9.831287835150842
Davidson,80,Mercyhurst,47,6.002686977751972,-9.513220387331831
Dayton,84,North Florida,61,7.453720484555427,-15.534483522416355
Delaware St,81,Longwood,76,-20.10207053375217,-9.004272423423975
DePaul,61,Wichita St,58,7.564957311061451,8.433712769495724
Elon,85,N Illinois,79,-1.7109036279344259,-10.69931700103686
FL Atlantic,105,SUNY Albany,79,6.351804649646517,-13.163496176751917
Florida,80,G Washington,70,26.39081761428366,9.857746736889899
Fordham,82,Manhattan,53,-0.05904195752884017,-15.274581333554556
Ga Southern,91,West Georgia,85,-8.452463657169565,-11.903771564516768
George Mason,73,Old Dominion,61,8.095174888899992,-8.261680554358493
Georgetown,76,St Peter's,68,8.097403188054626,-6.3187048872930385
Georgia,84,Cincinnati,65,20.02973847054447,12.416982907123183
Georgia St,77,Jacksonville St,73,-9.841027531814934,-4.019877384600862
Gonzaga,82,UCLA,72,26.12679094319873,17.20134853209326
Grand Canyon,82,Coastal Car,61,11.357472832207115,-7.357081216042199
Hawaii,66,UTEP,61,8.020968123203241,-6.308444347027473
Hofstra,70,Syracuse,69,2.086644182827586,11.66262825734674
Houston,99,New Orleans,57,25.82056645334507,-3.575655046476065
Howard,61,Hampton,57,-8.060038874832856,-8.456384002540549
Kansas,77,NC State,76,23.957485614866563,21.788929391891067
Kansas St,83,Creighton,76,10.199483531346415,10.984102719717837
Kentucky,72,Indiana,60,20.62694485238151,18.87384006863379
LIU Brooklyn,70,La Salle,60,-3.546335998209576,-4.388475820600071
Louisiana Tech,65,Louisiana,44,-5.691689472397247,-12.137067018502796
Louisville,99,Memphis,73,24.611732488445927,7.369641932350132
LSU,89,SMU,77,14.712317974153333,18.858138555743015
Marist,82,Bryant,74,-1.1747337528313329,-15.975655117989465
Marshall,76,Wright St,74,0.16629603079518857,1.3021861730347852
Massachusetts,103,Florida St,95,-0.4961988777783989,8.465280031603305
Miami FL,104,ULM,79,17.78517891833293,-18.229928278847783
Miami OH,79,E Kentucky,69,6.878792003107033,-8.312055999179629
Michigan,101,Maryland,83,34.00895201746655,2.5510536362520244
Michigan St,76,Penn St,72,24.386031921594633,5.083955436049424
Mississippi,71,Southern Miss,67,10.46160439503338,-6.948449734643707
Mississippi St,82,Utah,74,8.973566181550307,6.364077339194109
Morgan St,81,Niagara,73,-20.00282080703169,-16.995194255109116
Mt St Mary's,81,Loyola MD,73,-11.970313880036324,-13.377750243521636
Murray St,115,Akron,100,7.098433930540837,11.189246661258986
N Dakota St,99,Drake,94,2.046795939331589,0.7544156025781878
N Kentucky,80,Bellarmine,76,-2.4537270857196694,-9.739354468795353
Nebraska,83,Illinois,80,23.21892114201473,27.558451754312838
Nevada,78,Duquesne,75,12.180469852648914,4.686016814942015
North Carolina,80,SC Upstate,62,20.177147542199364,-9.147789259024785
Northern Iowa,75,Oakland,63,5.785582448008606,1.2988617496209411
Northwestern,93,Jackson St,53,11.78237952913321,-19.547308217380763
Notre Dame,82,Evansville,58,10.06327913551909,-7.795268693393136
Ohio,88,St Bonaventure,83,-2.458559640908652,2.3358205694267835
Ohio St,89,West Virginia,88,16.95643641170654,12.114842312208815
Oklahoma,85,Oklahoma St,76,11.432263406894199,13.86708154452552
Oregon,104,UC Davis,62,8.997587225487342,-0.8434486910801374
Oregon St,67,Montana St,57,-0.9699153817654318,1.0473895970912468
Pepperdine,70,CS Bakersfield,62,-5.588454031414728,-10.961124093729158
Purdue,79,Marquette,59,26.152648451209974,6.499579672447203
Quinnipiac,75,MA Lowell,71,-3.997091735107692,-14.238798983700297
Rice,77,Arkansas St,76,-4.818057589699624,-2.643647731191786
Richmond,93,S Illinois,84,3.374354993392689,3.3850180919715123
Robert Morris,75,Toledo,70,-3.837549906546749,0.3389247220623984
Sacred Heart,65,NJIT,49,-10.913977813629936,-14.80646949052454
San Diego,78,Northern Arizona,69,-2.184946658816856,-9.643076515343548
SE Louisiana,74,Houston Chr,71,-8.378711089435738,-9.978893333224674
Seton Hall,81,Rutgers,59,13.61217858159576,2.795178359596027
South Carolina,71,Citadel,55,8.258663769478087,-15.588927891729995
South Dakota,97,Prairie View,85,-8.241126626447448,-14.826501312313303
St John's,91,Iona,64,22.387807157714732,-5.622253380566301
St Louis,85,San Francisco,75,21.74212133595362,6.276755571400898
Stanford,86,San Jose St,82,11.495746482735854,-3.069027491311642
Stony Brook,78,C Michigan,55,-4.2986893622781555,-9.604265919979685
Tennessee St,63,UNLV,60,-7.984243030172132,3.1267531403743414
Tulsa,83,New Mexico St,70,12.474016558063923,0.004049809068651347
UNC Wilmington,73,Valparaiso,70,2.413830183033299,0.7826673040916575
Utah St,83,Illinois St,78,19.392266810705305,8.933861719167899
Utah Valley,68,UC Santa Barbara,53,6.639639918156236,3.2846658019866024
Vanderbilt,83,Cent Arkansas,72,24.154102986278797,-1.5873241521362738
Villanova,79,Pittsburgh,61,18.019965533374403,8.195075774872146
W Illinois,69,North Dakota,66,-21.1486742641898,-8.39620613812819
Washington,105,Southern Utah,69,15.817584011338012,-11.107617721609282
UC San Diego,93,Tulane,67,3.4181336664537407,-1.5078676189201856
St Thomas MN,80,UNC Asheville,59,2.882581967815671,-4.515129557592766
Appalachian St,86,High Point,78,-3.019964221943779,7.455157949413491
Boise St,68,St Mary's CA,67,13.415037567503262,16.908220628065287
Campbell,69,Ball St,64,-4.608704820965019,-11.502717502859307
Chicago St,84,Loyola-Chicago,75,-16.24969652612226,-7.919700317024193
Col Charleston,74,Charlotte,67,-0.4606347634581468,1.2042231354891468
East Carolina,73,Buffalo,70,-6.938769569086803,-1.2829899801500664
Fairfield,73,Monmouth NJ,65,-8.368082465442098,-3.848522919496683
Indiana St,70,WI Milwaukee,68,-2.4581456880249015,-6.744387041618924
Iowa,91,W Michigan,51,21.236487010988846,-7.971093026343999
Iowa St,78,E Illinois,53,28.277104289911488,-12.380585287610003
PFW,81,Detroit,77,-5.625687252766425,-7.342812147525938
Minnesota,89,TX Southern,53,10.308552144640325,-14.284509430349972
Missouri,82,Bethune-Cookman,60,11.56899502860914,-7.810451810139458
New Mexico,75,FGCU,59,14.880097023188116,-4.349217773076286
North Texas,58,South Alabama,57,0.7410214367989679,-5.806253567999122
Portland,88,Kent,78,-0.9276049727698782,1.3438007614795435
Radford,107,Coppin St,77,-6.409728237299939,-27.640739737591698
Temple,95,St Francis PA,67,1.6101601066860876,-18.95162660287704
Texas A&M,112,Jacksonville,75,19.179102352686098,-10.526145762510124
Troy,86,UAB,85,0.09710533684838424,4.233612921761928
USC,68,Washington St,61,13.985005389761836,4.5380550036221035
Vermont,66,Merrimack,59,-5.418090561445725,-5.674283720960461
Virginia Tech,82,MD E Shore,53,13.649896701268442,-15.28346349833095
Wake Forest,111,Queens NC,73,12.26856625050307,-4.175091457795946
Alabama A&M,68,North Alabama,60,-12.721138316688517,-15.019555502687506
McNeese St,78,Houston Chr,68,8.413093453200572,-9.978893333224674
TCU,69,Incarnate Word,65,14.466735878512502,-5.547585347287668
VCU,84,Niagara,58,12.760710460803173,-16.995194255109116
Wofford,83,Gardner Webb,57,-5.064308768836391,-24.646235285714415
Wyoming,87,S Dakota St,72,8.357185218844622,-1.4024499716884644
East Texas A&M,70,SE Louisiana,69,-10.24868267858815,-8.378711089435738
Arizona,96,Abilene Chr,62,29.622564216561056,-7.721991269551377
Arkansas,108,Queens NC,80,21.77145836677927,-4.175091457795946
Belmont,83,Evansville,78,10.045584450409333,-7.795268693393136
Bowling Green,76,Chicago St,55,3.589447698727336,-16.24969652612226
BYU,93,Pacific,57,22.96623370113013,4.378468361891341
Clemson,68,South Carolina,61,17.882590338253785,8.258663769478087
Connecticut,79,Butler,60,25.10729111927154,12.436267405379676
Dartmouth,89,Holy Cross,64,-5.458928015720884,-13.04688731791795
Dayton,97,Florida St,69,7.453720484555427,8.465280031603305
Delaware,65,Rider,57,-8.317869143575352,-17.261706725421675
Duke,97,Lipscomb,73,30.47631292494664,-2.2704298007365584
Georgia Tech,87,Marist,76,4.81995930743693,-1.1747337528313329
Howard,74,Drexel,66,-8.060038874832856,-3.932084854527281
Kansas,73,Towson,49,23.957485614866563,-0.5464166889081582
MA Lowell,87,Sacred Heart,82,-14.238798983700297,-10.913977813629936
Miami FL,98,Florida Intl,81,17.78517891833293,-1.0098371649423266
Miami OH,83,Wright St,76,6.878792003107033,1.3021861730347852
Michigan St,92,Toledo,69,24.386031921594633,0.3389247220623984
Mississippi St,87,LIU Brooklyn,83,8.973566181550307,-3.546335998209576
Missouri St,63,Oral Roberts,62,-2.3667315699870506,-11.75823476123825
Montana St,83,Cal Poly,80,1.0473895970912468,-6.316796372758351
Morehead St,78,Ark Little Rock,64,-11.585204401367001,-13.722529134725532
NC A&T,71,UNC Greensboro,65,-8.135106985044182,-12.065434872466879
North Carolina,77,ETSU,58,20.177147542199364,1.9085058569619273
Northwestern,86,Valparaiso,70,11.78237952913321,0.7826673040916575
Oklahoma,89,Missouri KC,67,11.432263406894199,-16.661368094073026
Rhode Island,62,Canisius,45,4.372881568912538,-17.060558122515523
SC Upstate,78,S Carolina St,72,-9.147789259024785,-22.2908843957574
St John's,79,DePaul,66,22.387807157714732,7.564957311061451
Tennessee,83,Louisville,62,22.52532774922322,24.611732488445927
Texas,95,Le Moyne,53,17.79158970367343,-9.839160736172351
Texas Tech,101,N Colorado,90,22.11626746517065,-1.0823524586851767
UTRGV,83,Lamar,72,-0.22814271103413875,-2.214271862878108
Cal Baptist,75,Southern Univ,67,2.1953924231003668,-11.076179678502223
Tarleton St,88,MS Valley St,64,-2.827342432024417,-28.348205063722833
UC San Diego,67,Loy Marymount,57,3.4181336664537407,1.5500504379175963
Alabama,104,South Florida,93,22.89926309681164,10.967070575235171
SUNY Albany,71,Stony Brook,55,-13.163496176751917,-4.2986893622781555
Arkansas St,89,Texas St,70,-2.643647731191786,-8.993596293102888
Cincinnati,88,Alabama St,51,12.416982907123183,-13.932727716177093
Col Charleston,82,Citadel,78,-0.4606347634581468,-15.588927891729995
Colorado,84,Portland St,73,10.951503521035468,2.2902438567068213
Creighton,98,Xavier,57,10.984102719717837,7.778365709841898
E Kentucky,62,Jacksonville St,59,-8.312055999179629,-4.019877384600862
East Carolina,74,Presbyterian,53,-6.938769569086803,-8.171853518367254
Elon,73,Richmond,70,-1.7109036279344259,3.374354993392689
Florida,102,St Francis PA,61,26.39081761428366,-18.95162660287704
Florida A&M,72,Jacksonville,65,-14.958411699952181,-10.526145762510124
Georgetown,78,Marquette,69,8.097403188054626,6.499579672447203
Gonzaga,98,Campbell,70,26.12679094319873,-4.608704820965019
Mississippi,80,Alabama A&M,66,10.46160439503338,-12.721138316688517
MTSU,68,Kennesaw,67,1.2330496506793978,0.6339937118072055
NC State,108,TX Southern,72,21.788929391891067,-14.284509430349972
New Hampshire,59,Stonehill,58,-12.508359622828568,-13.871167902361144
Nicholls St,79,Houston Chr,64,-6.207446160282377,-9.978893333224674
Northern Iowa,60,IL Chicago,54,5.785582448008606,1.7665509943221132
Oakland,82,N Kentucky,77,1.2988617496209411,-2.4537270857196694
Old Dominion,77,James Madison,68,-8.261680554358493,-6.42260170209562
Oregon,94,Portland,69,8.997587225487342,-0.9276049727698782
Pittsburgh,103,Binghamton,63,8.195075774872146,-21.707046613042007
Quinnipiac,85,Monmouth NJ,75,-3.997091735107692,-3.848522919496683
Robert Morris,80,Youngstown St,77,-3.837549906546749,-2.8049667940666527
Sam Houston St,85,Oregon St,75,4.794162125506685,-0.9699153817654318
San Diego St,81,Air Force,58,14.954913190967044,-12.735240615401642
San Francisco,85,Loyola-Chicago,71,6.276755571400898,-7.919700317024193
Santa Clara,63,North Texas,60,16.697031882728538,0.7410214367989679
Seattle,79,UC Davis,78,4.296087924139515,-0.8434486910801374
SF Austin,69,TAM C. Christi,60,6.14950134383293,-2.5860191794207728
South Alabama,96,ULM,92,-5.806253567999122,-18.229928278847783
St Louis,112,Bethune-Cookman,53,21.74212133595362,-7.810451810139458
Stanford,76,UT Arlington,60,11.495746482735854,-0.020907387432929244
Syracuse,76,Mercyhurst,62,11.66262825734674,-9.513220387331831
Tulane,61,Louisiana Tech,53,-1.5078676189201856,-5.691689472397247
UAB,101,Cleveland St,77,4.233612921761928,-10.736414013574178
UCF,81,Mercer,63,15.06572674394935,0.5840288415363489
UCLA,90,Arizona St,77,17.20134853209326,10.603952967409308
USC,97,UT San Antonio,70,13.985005389761836,-15.648689776756592
Utah Valley,90,Weber St,74,6.639639918156236,-2.4753255840285364
Vanderbilt,77,Memphis,70,24.154102986278797,7.369641932350132
Vermont,83,Siena,69,-5.418090561445725,-3.3587700316394775
Wagner,78,MD E Shore,64,-12.601506934083272,-15.28346349833095
Wake Forest,71,Longwood,68,12.26856625050307,-9.004272423423975
Washington St,78,E Washington,63,4.5380550036221035,-5.263958334345224
WI Green Bay,67,UC Santa Barbara,64,-5.7700409143629,3.2846658019866024
Wichita St,84,Wofford,73,8.433712769495724,-5.064308768836391
Bellarmine,79,Chattanooga,64,-9.739354468795353,-11.311391432436908
Appalachian St,67,Coastal Car,49,-3.019964221943779,-7.357081216042199
Ark Little Rock,77,Southern Indiana,62,-13.722529134725532,-14.295320327497267
Bradley,108,Indiana St,99,3.590955518992814,-2.4581456880249015
Charleston So,113,North Florida,90,-6.340856798534731,-15.534483522416355
Charlotte,81,Lafayette,67,1.2042231354891468,-12.102088387400759
E Illinois,76,SIUE,72,-12.380585287610003,-8.17415727893679
Fairfield,84,Central Conn,70,-8.368082465442098,-10.69680210540559
Furman,75,Manhattan,68,-2.2995798984529365,-15.274581333554556
Ga Southern,90,Georgia St,67,-8.452463657169565,-9.841027531814934
Georgia,112,W Carolina,82,20.02973847054447,-9.503110725382177
Grambling,80,Norfolk St,68,-10.144108684165358,-13.021484758554106
Hampton,84,Jackson St,77,-8.456384002540549,-19.547308217380763
Illinois St,75,S Illinois,68,8.933861719167899,3.3850180919715123
Long Beach St,81,Pepperdine,78,-4.652494408015093,-5.588454031414728
Murray St,81,Drake,72,7.098433930540837,0.7544156025781878
North Dakota,90,Winthrop,88,-8.39620613812819,1.3368316881639872
Northern Arizona,65,Southern Utah,57,-9.643076515343548,-11.107617721609282
Oklahoma St,91,Missouri KC,79,13.86708154452552,-16.661368094073026
Southern Miss,62,Louisiana,54,-6.948449734643707,-12.137067018502796
St Joseph's PA,67,Delaware St,51,0.6346552500089729,-20.10207053375217
TCU,72,Oral Roberts,53,14.466735878512502,-11.75823476123825
Temple,68,Davidson,63,1.6101601066860876,6.002686977751972
Tennessee St,78,TN Martin,71,-7.984243030172132,-3.7745856292540623
Tennessee Tech,85,SE Missouri St,74,-14.281089336240143,-6.757013248262701
VCU,105,American Univ,83,12.760710460803173,-6.396969179237704
William & Mary,96,Radford,83,1.656572728906202,-6.409728237299939
Lindenwood,92,W Illinois,76,-7.15310794555327,-21.1486742641898
Akron,93,E Michigan,72,11.189246661258986,-3.580139516277849
Baylor,113,Alcorn St,56,15.872210600276453,-20.10652752334088
Belmont,84,UC Irvine,58,10.045584450409333,3.4963503402669383
BYU,85,Abilene Chr,67,22.96623370113013,-7.721991269551377
California,97,Morgan St,50,13.447545319841446,-20.00282080703169
Drexel,75,Mt St Mary's,67,-3.932084854527281,-11.970313880036324
Florida St,96,MS Valley St,49,8.465280031603305,-28.348205063722833
Grambling,81,Hampton,72,-10.144108684165358,-8.456384002540549
High Point,84,La Salle,72,7.455157949413491,-4.388475820600071
Loy Marymount,91,North Alabama,57,1.5500504379175963,-15.019555502687506
LSU,78,SE Louisiana,65,14.712317974153333,-8.378711089435738
Navy,88,Coppin St,55,-2.05716253834581,-27.640739737591698
Norfolk St,82,Jackson St,72,-13.021484758554106,-19.547308217380763
Sacred Heart,85,Dartmouth,63,-10.913977813629936,-5.458928015720884
San Diego,82,UC San Diego,80,-2.184946658816856,3.4181336664537407
Seattle,70,Washington,66,4.296087924139515,15.817584011338012
Seton Hall,72,Providence,67,13.61217858159576,11.241342833123284
St Mary's CA,88,FL Atlantic,75,16.908220628065287,6.351804649646517
Tulsa,82,WKU,81,12.474016558063923,0.4252617180430557
UCLA,108,Cal Poly,87,17.20134853209326,-6.316796372758351
Villanova,76,Wisconsin,66,18.019965533374403,16.984647164159234
WI Milwaukee,88,S Dakota St,87,-6.744387041618924,-1.4024499716884644
Tarleton St,78,Florida A&M,54,-2.827342432024417,-14.958411699952181
Arizona,68,San Diego St,45,29.622564216561056,14.954913190967044
Arkansas St,93,Southern Miss,86,-2.643647731191786,-6.948449734643707
Bowling Green,68,Ohio,58,3.589447698727336,-2.458559640908652
Buffalo,88,W Michigan,71,-1.2829899801500664,-7.971093026343999
Butler,61,Northwestern,58,12.436267405379676,11.78237952913321
Coastal Car,76,Old Dominion,74,-7.357081216042199,-8.261680554358493
Creighton,84,Marquette,63,10.984102719717837,6.499579672447203
Denver,86,N Colorado,79,-6.718963056154548,-1.0823524586851767
Florida Intl,86,LIU Brooklyn,79,-1.0098371649423266,-3.546335998209576
Ga Southern,96,James Madison,92,-8.452463657169565,-6.42260170209562
Georgia St,70,Appalachian St,63,-9.841027531814934,-3.019964221943779
Georgia Tech,95,Lafayette,81,4.81995930743693,-12.102088387400759
Grand Canyon,82,Wyoming,70,11.357472832207115,8.357185218844622
Harvard,81,Holy Cross,53,-1.9259472947129983,-13.04688731791795
Houston,94,Arkansas,85,25.82056645334507,21.77145836677927
Howard,67,UNC Wilmington,66,-8.060038874832856,2.413830183033299
Indiana,78,Chicago St,58,18.87384006863379,-16.24969652612226
Iona,83,Vermont,78,-5.622253380566301,-5.418090561445725
Iowa,94,Bucknell,39,21.236487010988846,-13.096288524993339
Jacksonville St,81,ETSU,75,-4.019877384600862,1.9085058569619273
Kansas St,106,South Dakota,76,10.199483531346415,-8.241126626447448
Kent,69,Massachusetts,59,1.3438007614795435,-0.4961988777783989
Kentucky,78,St John's,66,20.62694485238151,22.387807157714732
Liberty,64,Dayton,61,5.976024139614131,7.453720484555427
Longwood,74,NC Central,72,-9.004272423423975,-16.23054921366116
Louisville,94,Montana,54,24.611732488445927,0.4272721445912008
Loyola-Chicago,80,Santa Clara,78,-7.919700317024193,16.697031882728538
Miami OH,86,Ball St,77,6.878792003107033,-11.502717502859307
Michigan St,79,Oakland,70,24.386031921594633,1.2988617496209411
Mississippi St,71,Memphis,66,8.973566181550307,7.369641932350132
Morehead St,64,Southern Indiana,60,-11.585204401367001,-14.295320327497267
N Illinois,74,C Michigan,73,-10.69931700103686,-9.604265919979685
NE Omaha,85,Lamar,82,-6.6809771450146105,-2.214271862878108
Nevada,81,Boise St,66,12.180469852648914,13.415037567503262
New Mexico,88,San Jose St,65,14.880097023188116,-3.069027491311642
North Carolina,71,Ohio St,70,20.177147542199364,16.95643641170654
Pepperdine,84,Rice,62,-5.588454031414728,-4.818057589699624
Purdue,88,Auburn,60,26.152648451209974,19.144250770747117
Richmond,80,Citadel,56,3.374354993392689,-15.588927891729995
Robert Morris,79,St Francis PA,70,-3.837549906546749,-18.95162660287704
Rutgers,70,Penn,69,2.795178359596027,-2.0570696017200927
SE Missouri St,91,Tennessee St,82,-6.757013248262701,-7.984243030172132
St Bonaventure,92,Le Moyne,81,2.3358205694267835,-9.839160736172351
Stanford,77,Colorado,68,11.495746482735854,10.951503521035468
Syracuse,91,Northeastern,83,11.66262825734674,-6.463460575559628
Texas St,67,South Alabama,65,-8.993596293102888,-5.806253567999122
Texas Tech,82,Duke,81,22.11626746517065,30.47631292494664
TN Martin,86,Tennessee Tech,62,-3.7745856292540623,-14.281089336240143
Troy,70,Marshall,63,0.09710533684838424,0.16629603079518857
Tulane,63,Portland St,61,-1.5078676189201856,2.2902438567068213
UCF,102,FGCU,80,15.06572674394935,-4.349217773076286
Louisiana,76,ULM,62,-12.137067018502796,-18.229928278847783
UNLV,84,Fresno St,72,3.1267531403743414,4.073803256746674
Utah,101,E Washington,77,6.364077339194109,-5.263958334345224
Utah St,100,Colorado St,58,19.392266810705305,8.035917066741126
Virginia,80,Maryland,72,20.91879714221833,2.5510536362520244
Virginia Tech,82,Elon,81,13.649896701268442,-1.7109036279344259
Washington St,84,Mercer,78,4.5380550036221035,0.5840288415363489
Xavier,80,Georgetown,77,7.778365709841898,8.097403188054626
Youngstown St,74,SC Upstate,65,-2.8049667940666527,-9.147789259024785
Cal Baptist,74,CS Sacramento,67,2.1953924231003668,-6.393255168038442
Utah Tech,82,Weber St,80,-3.4850425266828218,-2.4753255840285364
St Thomas MN,92,UC Riverside,78,2.882581967815671,-8.761132749466462
Mercyhurst,82,Binghamton,61,-9.513220387331831,-21.707046613042007
Alabama,92,Kennesaw,81,22.89926309681164,0.6339937118072055
Baylor,111,Southern Univ,67,15.872210600276453,-11.076179678502223
Boston Univ,88,MA Lowell,76,-9.831287835150842,-14.238798983700297
Bradley,73,S Illinois,69,3.590955518992814,3.3850180919715123
California,74,Columbia,56,13.447545319841446,-1.1455860463245808
Charlotte,88,IL Chicago,76,1.2042231354891468,1.7665509943221132
Chattanooga,73,Alabama A&M,66,-11.311391432436908,-12.721138316688517
Clemson,68,Cincinnati,65,17.882590338253785,12.416982907123183
Col Charleston,85,N Kentucky,74,-0.4606347634581468,-2.4537270857196694
Connecticut,72,DePaul,54,25.10729111927154,7.564957311061451
Cornell,83,SUNY Albany,75,-2.5897361889852073,-13.163496176751917
Drake,66,Evansville,65,0.7544156025781878,-7.795268693393136
Drexel,74,Maine,56,-3.932084854527281,-16.277077360329795
Florida,90,Colgate,60,26.39081761428366,-3.5300665357659207
Furman,84,Charleston So,76,-2.2995798984529365,-6.340856798534731
George Mason,86,Loyola MD,79,8.095174888899992,-13.377750243521636
Gonzaga,91,Oregon,82,26.12679094319873,8.997587225487342
Hofstra,74,Quinnipiac,66,2.086644182827586,-3.997091735107692
Idaho,83,Cal Poly,80,-0.860099995525089,-6.316796372758351
Illinois St,85,Indiana St,65,8.933861719167899,-2.4581456880249015
Incarnate Word,90,Northern Arizona,66,-5.547585347287668,-9.643076515343548
Iowa St,91,Long Beach St,60,28.277104289911488,-4.652494408015093
PFW,72,Notre Dame,69,-5.625687252766425,10.06327913551909
Manhattan,87,Presbyterian,81,-15.274581333554556,-8.171853518367254
Marist,70,Stony Brook,51,-1.1747337528313329,-4.2986893622781555
Miami FL,105,North Florida,67,17.78517891833293,-15.534483522416355
Michigan,102,La Salle,50,34.00895201746655,-4.388475820600071
Minnesota,78,Campbell,50,10.308552144640325,-4.608704820965019
Monmouth NJ,76,Lehigh,62,-3.848522919496683,-10.370556306684765
Murray St,85,Valparaiso,79,7.098433930540837,0.7826673040916575
NC State,76,Mississippi,62,21.788929391891067,10.46160439503338
Nebraska,78,North Dakota,55,23.21892114201473,-8.39620613812819
New Mexico St,87,Sam Houston St,78,0.004049809068651347,4.794162125506685
Norfolk St,72,UTEP,71,-13.021484758554106,-6.308444347027473
Oklahoma St,94,CS Fullerton,89,13.86708154452552,-2.1915793640363734
Oregon St,78,Arizona St,75,-0.9699153817654318,10.603952967409308
Pacific,95,Nicholls St,82,4.378468361891341,-6.207446160282377
Pittsburgh,80,Penn St,46,8.195075774872146,5.083955436049424
Radford,97,VMI,90,-6.409728237299939,-19.385486784833247
San Francisco,94,Morgan St,64,6.276755571400898,-20.00282080703169
SMU,99,Cent Arkansas,82,18.858138555743015,-1.5873241521362738
South Florida,94,UMBC,69,10.967070575235171,-8.519516689602433
St Louis,93,New Hampshire,79,21.74212133595362,-12.508359622828568
TCU,80,Florida A&M,56,14.466735878512502,-14.958411699952181
Tennessee,94,Gardner Webb,52,22.52532774922322,-24.646235285714415
Texas A&M,118,East Texas A&M,77,19.179102352686098,-10.24868267858815
UAB,72,UNC Asheville,47,4.233612921761928,-4.515129557592766
UC Davis,93,Idaho St,83,-0.8434486910801374,-2.6900359146858124
UC Irvine,74,N Dakota St,73,3.4963503402669383,2.046795939331589
Vanderbilt,98,Wake Forest,67,24.154102986278797,12.26856625050307
WI Milwaukee,81,Cleveland St,71,-6.744387041618924,-10.736414013574178
Wichita St,88,E Kentucky,57,8.433712769495724,-8.312055999179629
Abilene Chr,75,TX Southern,68,-7.721991269551377,-14.284509430349972
Arizona,107,Bethune-Cookman,71,29.622564216561056,-7.810451810139458
Boston College,72,F Dickinson,61,3.54890302348592,-14.479566581615781
Butler,101,NJIT,52,12.436267405379676,-14.80646949052454
BYU,109,E Washington,81,22.96623370113013,-5.263958334345224
Coastal Car,68,St Joseph's PA,62,-7.357081216042199,0.6346552500089729
Creighton,92,Utah Tech,69,10.984102719717837,-3.4850425266828218
CS Northridge,100,CS Sacramento,88,-2.1109082342198446,-6.393255168038442
Duquesne,103,Canisius,59,4.686016814942015,-17.060558122515523
SIUE,66,W Illinois,61,-8.17415727893679,-21.1486742641898
Florida St,87,Jacksonville,63,8.465280031603305,-10.526145762510124
Fordham,65,New Haven,47,-0.05904195752884017,-14.029552843602488
Georgetown,97,Coppin St,67,8.097403188054626,-27.640739737591698
Georgia,103,West Georgia,74,20.02973847054447,-11.903771564516768
Grand Canyon,91,IUPUI,78,11.357472832207115,-12.491570369997088
High Point,93,Bryant,47,7.455157949413491,-15.975655117989465
Illinois,91,Missouri,48,27.558451754312838,11.56899502860914
Indiana,81,Siena,60,18.87384006863379,-3.3587700316394775
Kansas,90,Davidson,61,23.957485614866563,6.002686977751972
LSU,104,Prairie View,90,14.712317974153333,-14.826501312313303
Memphis,88,Alabama St,67,7.369641932350132,-13.932727716177093
North Carolina,99,East Carolina,51,20.177147542199364,-6.938769569086803
Oklahoma,107,Stetson,54,11.432263406894199,-14.070523158103668
Rhode Island,85,Northeastern,77,4.372881568912538,-6.463460575559628
UC Santa Barbara,79,Portland,61,3.2846658019866024,-0.9276049727698782
Seattle,71,UT San Antonio,68,4.296087924139515,-15.648689776756592
South Carolina,95,S Carolina St,70,8.258663769478087,-22.2908843957574
St Mary's CA,63,Northern Iowa,58,16.908220628065287,5.785582448008606
Syracuse,77,Stonehill,48,11.66262825734674,-13.871167902361144
Temple,65,Princeton,61,1.6101601066860876,-5.435545860544262
Texas,94,MD E Shore,71,17.79158970367343,-15.28346349833095
Towson,72,Sacred Heart,47,-0.5464166889081582,-10.913977813629936
Tulsa,90,Denver,85,12.474016558063923,-6.718963056154548
UC Irvine,89,Norfolk St,70,3.4963503402669383,-13.021484758554106
UT Arlington,69,Oral Roberts,57,-0.020907387432929244,-11.75823476123825
UTEP,76,N Dakota St,66,-6.308444347027473,2.046795939331589
VCU,100,Rider,79,12.760710460803173,-17.261706725421675
Virginia,95,American Univ,51,20.91879714221833,-6.396969179237704
Washington,86,San Diego,56,15.817584011338012,-2.184946658816856
West Virginia,86,MS Valley St,51,12.114842312208815,-28.348205063722833
Wisconsin,88,C Michigan,61,16.984647164159234,-9.604265919979685
Wright St,70,E Michigan,64,1.3021861730347852,-3.580139516277849
Army,95,Binghamton,85,-14.42534764296668,-21.707046613042007
Campbell,102,WI Green Bay,79,-4.608704820965019,-5.7700409143629
CS Bakersfield,64,Idaho,63,-10.961124093729158,-0.860099995525089
Kentucky,99,Bellarmine,85,20.62694485238151,-9.739354468795353
Loy Marymount,83,Morgan St,56,1.5500504379175963,-20.00282080703169
Missouri St,70,Lindenwood,65,-2.3667315699870506,-7.15310794555327
