Team,Wins,Losses,WL%,TEAM Total Points,TEAM Red Zone Scores,TEAM Red Zone Attempts,TEAM Scoring Points/Game,TEAM PAT Kicking Attempts,TEAM PAT Kicking Made,OPP Scoring Points/Game,TEAM Total Offense Yards,TEAM First Downs Total,Turnover margin,TEAM Total Offense Plays,TEAM Passing Rating,TEAM Rushing TD,OPP Passing Rating,OPP Total Points,OPP Total Offense Yards / Play,TEAM 3rd Down Conversions,OPP Passing Attempts,TEAM Total Offense Yards / Play,OPP Passing Interceptions,TEAM Interceptions Returns,OPP Passing Yards per Attempt,OPP 3rd Down Conversions Attempts,TEAM 3rd Down Conversion %,OPP Rushing TD,TEAM First Downs Rushing,OPP Red Zone Scores,TEAM Rushing Yards,OPP 4th Down Conversions Attempts,OPP Rushing Yards / Attempt,TEAM Passing Yards per Attempt,OPP Punting Yards,OPP Punting Punts,TEAM Rushing Attempts,TEAM Passing TD,OPP Red Zone Success %,OPP Fumbles Number,OPP Rushing Yards,OPP Red Zone Attempts,OPP Total Offense Plays,TEAM Rushing Yards / Attempt,TEAM 4th Down Conversion %,OPP 3rd Down Conversion %,TEAM First Downs Passing,TEAM Passing Yards,OPP Passing Completions,OPP Fumbles Lost,TEAM Passing Interceptions,OPP Interceptions Returns,TEAM Field Goals Attempts,TEAM Punt Returns Returns,TEAM Field Goals Made,OPP Passing TD,TEAM Punting Punts,OPP 4th Down Conversion %,TEAM Punting Yards,OPP Punt Returns Returns,TEAM Interceptions Yards,OPP First Downs Rushing,TEAM 3rd Down Conversions Attempts,TEAM Red Zone Success %,OPP 4th Down Conversions,TEAM Punt Returns Yards,TEAM Time of Possession,TEAM Passing Completions,TEAM Kickoff Returns Returns,OPP Total Offense Yards,OPP Time of Possession,OPP Punt Returns Yards,TEAM Interceptions TD,OPP Kickoff Returns Returns,OPP Penalties Number,OPP Kickoff Returns Yards / Return,OPP Interceptions TD,TEAM Kickoff Returns Yards,OPP Kickoff Returns Yards,TEAM Passing Attempts,OPP Interceptions Yards,TEAM 4th Down Conversions,TEAM Fumbles Number,TEAM Fumbles Lost,OPP First Downs By Penalty,TEAM Penalties Yards,OPP First Downs Total,OPP Punting Yards / Punt,OPP First Downs Passing,TEAM 4th Down Conversions Attempts,TEAM Punt Returns Yards / Return,TEAM Penalties Number,TEAM PAT Kicking Success %,TEAM Kickoff Returns TD,OPP Penalties Yards,OPP Field Goals Made,TEAM Field Goals Success %,OPP Passing Yards,OPP PAT Kicking Success %,OPP Field Goals Attempts,TEAM First Downs By Penalty,TEAM Kickoff Returns Yards / Return,OPP Kickoff Returns TD,OPP Field Goals Success %,TEAM Punting Yards / Punt,OPP 3rd Down Conversions,OPP Punt Returns TD,TEAM Punt Returns TD,OPP Rushing Attempts,OPP Punt Returns Yards / Return
Colorado,9,4,0.6923076923076923,428,42,51,32.9,56,56,23.1,4981,265,12,823,166.47,15,119.8,300,5.07,65,393,6.05,15,15,6.633587786259542,189,0.40880000000000005,17,63,37,847,28,3.87,8.576763485477178,2473,56,341,37,0.74,21,1968,50,902,2.48,0.381,0.39149999999999996,171,4134,229,12,10,10,16,19,12,16,53,0.5714,2315,24,268,124,159,0.8234999999999999,16,197,1671.08,353,19,4575,1926.85,365,1,53,99,22.23,1,386,1178,482,48,8,13,5,28,882,263,44.16,111,21,10.37,100,1.0,0,870,17,0.75,2607,1.0,23,31,20.32,1,0.7390000000000001,43.68,74,1,1,509,15.21
Houston,4,8,0.3333333333333333,168,15,25,14.0,17,16,22.9,3457,181,-8,710,118.43,9,127.55,275,5.2,43,333,4.87,12,12,6.804804804804805,158,0.2792,14,88,29,1625,15,3.92,6.542857142857143,2430,58,430,9,0.8286,21,1631,35,749,3.78,0.37929999999999997,0.3671,77,1832,199,7,17,17,14,19,10,18,57,0.7333,2389,16,137,90,154,0.6,11,132,1794.75,182,22,3897,1789.75,56,1,19,54,21.37,1,463,406,280,107,11,21,10,21,623,214,41.9,103,29,6.95,66,0.941,0,507,13,0.7140000000000001,2266,0.938,19,16,21.05,1,0.684,41.91,58,0,1,416,3.5
Iowa State,11,3,0.7857142857142857,435,55,63,31.1,48,46,22.9,5827,317,9,989,135.35,27,112.94,321,5.73,85,372,5.89,15,15,6.231182795698925,184,0.42710000000000004,19,122,31,2247,22,5.35,7.568710359408033,2685,65,516,25,0.8856999999999999,16,2637,35,865,4.35,0.8,0.3967,160,3580,196,9,10,10,28,14,21,18,54,0.5455,2280,13,101,121,199,0.873,12,224,1918.86,277,10,4955,1681.14,109,0,30,92,20.63,3,203,619,473,298,20,11,5,9,392,241,41.31,111,25,16.0,53,0.958,0,789,12,0.75,2318,1.0,17,35,20.3,0,0.706,42.22,73,1,1,493,8.38
Kansas,5,7,0.4166666666666667,356,42,47,29.7,46,44,26.0,5042,258,0,766,134.62,29,146.25,312,6.1,75,360,6.58,12,12,7.969444444444444,152,0.5102,10,133,32,2537,19,4.47,8.186274509803921,1613,39,460,15,0.8,9,1842,40,772,5.52,0.6667000000000001,0.44079999999999997,108,2505,227,5,12,12,15,8,12,25,34,0.5789,1421,12,120,115,147,0.8936,11,55,1864.08,176,27,4711,1735.92,178,2,14,54,21.79,1,445,305,306,193,10,10,5,14,464,255,41.36,126,15,6.88,54,0.9570000000000001,0,489,16,0.8,2869,1.0,20,17,16.48,0,0.8,41.79,67,1,0,412,14.83
Kansas State,9,4,0.6923076923076923,401,42,48,30.8,45,44,23.4,5549,264,-1,844,134.55,21,128.69,304,5.26,70,416,6.57,10,10,7.021634615384615,179,0.4118,15,133,35,2801,28,3.56,7.174934725848564,2418,57,461,25,0.8332999999999999,12,1543,42,849,6.08,0.5769,0.3799,120,2748,244,5,10,10,21,13,17,20,47,0.3214,1990,13,162,87,170,0.875,9,142,1749.54,222,28,4464,1850.38,219,1,22,59,21.91,0,552,482,383,122,15,13,6,26,594,243,42.42,130,26,10.92,71,0.978,0,459,15,0.81,2921,0.971,17,11,19.71,0,0.882,42.34,68,1,2,433,16.85
Oklahoma State,3,9,0.25,326,39,44,27.2,35,34,35.6,4488,245,-8,807,126.21,19,149.06,427,6.81,57,405,5.56,12,12,8.461728395061728,172,0.354,28,81,42,1341,30,5.41,7.008908685968819,1692,40,358,21,0.8077,8,2580,52,882,3.75,0.6537999999999999,0.4593,145,3147,254,3,17,17,17,15,12,26,55,0.5333,2454,10,214,136,161,0.8864,16,88,1623.08,267,45,6007,1975.83,64,1,21,64,19.1,1,837,401,449,120,17,11,6,15,521,300,42.3,149,26,5.87,60,0.971,0,587,12,0.706,3427,1.0,18,19,18.6,0,0.667,44.62,79,0,0,477,6.4
TCU,9,4,0.6923076923076923,435,52,57,33.5,55,54,24.6,5549,293,-6,888,151.92,26,114.24,320,5.0,72,403,6.25,10,10,5.972704714640199,199,0.4337,21,100,36,1481,25,4.21,8.336065573770492,2463,61,400,29,0.878,16,2086,41,899,3.7,0.7826000000000001,0.4372,175,4068,232,6,11,11,22,26,15,14,42,0.52,1780,6,49,131,166,0.9123,13,286,1713.08,326,18,4493,1886.92,80,0,29,69,16.69,1,338,484,488,159,18,18,11,20,691,263,40.38,112,23,11.0,73,0.982,0,601,16,0.682,2407,0.914,21,18,18.78,0,0.762,42.38,87,1,1,496,13.33
Texas Tech,8,5,0.6153846153846154,489,56,62,37.6,53,53,34.8,6015,319,1,1010,138.13,26,148.39,453,6.52,102,475,5.96,14,14,8.43157894736842,171,0.4904,28,124,50,2158,26,4.46,7.19589552238806,2071,49,474,31,0.8772,20,1977,57,918,4.55,0.4828,0.3801,174,3857,304,8,11,11,24,11,22,28,47,0.5769,1982,14,126,99,208,0.9031999999999999,15,67,1811.0,336,44,5982,1788.69,164,2,21,85,15.57,0,922,327,536,161,14,17,10,27,792,301,42.27,175,29,6.09,95,1.0,0,706,20,0.917,4005,0.9420000000000001,27,21,20.95,0,0.741,42.17,65,0,0,443,11.71
UCF,4,8,0.3333333333333333,365,39,45,30.4,45,44,26.9,5373,283,-8,827,130.7,33,137.15,323,5.16,64,376,6.5,9,9,6.9787234042553195,173,0.4156,14,162,40,2977,17,3.5,7.704180064308682,2633,60,516,14,0.9091,10,1444,44,788,5.77,0.5357,0.4277,103,2396,244,2,11,11,15,18,9,21,41,0.7059000000000001,1765,10,231,82,154,0.8667,12,171,1697.83,181,23,4068,1901.75,175,1,20,76,21.15,3,385,423,311,88,15,15,8,22,653,231,43.88,127,28,9.5,78,0.978,0,588,15,0.6,2624,0.919,18,18,16.74,0,0.833,43.05,74,1,0,412,17.5
Utah,5,7,0.4166666666666667,283,34,39,23.6,26,26,20.7,3958,199,-4,761,120.68,7,112.2,248,5.05,56,380,5.2,12,12,6.323684210526316,175,0.3275,13,81,25,1565,28,3.84,6.684357541899441,2936,67,403,20,0.8065000000000001,16,1553,31,784,3.88,0.45,0.2743,103,2393,199,6,17,17,25,22,19,15,61,0.5714,2680,19,248,81,171,0.8718,16,124,1926.17,199,17,3956,1671.33,178,3,25,74,22.44,0,351,561,358,77,9,18,5,15,555,198,43.82,102,20,5.64,65,1.0,0,525,13,0.76,2403,0.9620000000000001,21,15,20.65,1,0.619,43.93,48,1,1,404,9.37
