Code,Department,Title,Hours,Enrollment,Semester,Year
STAT 185.001,STAT,Introductory Statistics,4,32,FALL,2017
STAT 185.002,STAT,Introductory Statistics,4,32,FALL,2017
MATH 192.001,MATH,Calculus II,4,31,SPRING,2017
MATH 192.004,MATH,Calculus II,4,27,SPRING,2017
MATH 373.001,MATH,Complex Dynamics,3,10,SPRING,2017
STAT 185.001,STAT,Introductory Statistics,4,19,SUMMER,2017
MATH 191.001,MATH,Calculus I,4,29,FALL,2018
MATH 398.001,MATH,Complex Variables,3,13,FALL,2018
STAT 225.001,STAT,Calculus-Based Statistics,4,13,FALL,2018
CSCI 441.001,CSCI,Numerical Analysis,3,4,SPRING,2018
MATH 191.001,MATH,Calculus I,4,31,SPRING,2018
MATH 391.001,MATH,Advanced Calculus,3,11,SPRING,2018
MATH 441.001,MATH,Numerical Analysis,3,15,SPRING,2018
STAT 185.001,STAT,Introductory Statistics,4,14,SUMMER,2018
MATH 191.003,MATH,Calculus I,4,26,FALL,2019
MATH 191.003,MATH,Calculus I,4,26,FALL,2019
MATH 365.001,MATH,Linear Algebra I,3,20,FALL,2019
MATH 365.002,MATH,Linear Algebra I,3,14,FALL,2019
MATH 381.001,MATH,Problems in Mathematics,1,17,FALL,2019
MATH 191.001,MATH,Calculus I,4,24,SPRING,2019
MATH 191.002,MATH,Calculus I,4,28,SPRING,2019
MATH 373.001,MATH,Complex Dynamical Systems,3,8,SPRING,2019
STAT 185.001,STAT,Introductory Statistics,4,9,SUMMER,2019
MATH 394.001,MATH,Differential Equations,3,21,FALL,2020
STAT 185.001,STAT,Introductory Statistics,4,18,FALL,2020
STAT 185.004,STAT,Introductory Statistics,4,20,FALL,2020
MATH 291.001,MATH,Calculus III,4,12,SPRING,2020
MATH 291.001,MATH,Calculus III,4,12,SPRING,2020
MATH 291.002,MATH,Calculus III,4,30,SPRING,2020
MATH 291.002,MATH,Calculus III,4,30,SPRING,2020
MATH 366.001,MATH,Linear Algebra II,3,15,SPRING,2020
MATH 171.001,MATH,Calculus I Support,1,1,FALL,2021
MATH 191.001,MATH,Calculus I,4,15,FALL,2021
MATH 191.002,MATH,Calculus I,4,11,FALL,2021
MATH 397.001,MATH,Chaos and Fractals,3,8,FALL,2021
MATH 395.001,MATH,Partial Differential Equations,3,19,SPRING,2021
STAT 185.001,STAT,Introductory Statistics,4,16,SPRING,2021
STAT 185.003,STAT,Introductory Statistics,4,20,SPRING,2021
MATH 192.001,MATH,Calculus II,4,11,SUMMER,2021
MATH 251.001,MATH,Discrete Mathematics,3,10,FALL,2022
MATH 291.001,MATH,Calculus III,4,20,FALL,2022
MATH 291.002,MATH,Calculus III,4,17,FALL,2022
MATH 192.002,MATH,Calculus II,4,7,SPRING,2022
MATH 192.003,MATH,Calculus II,4,11,SPRING,2022
STAT 185.001,STAT,Introductory Statistics,4,17,SPRING,2022
FYS 178.033,FYS,Using Data to Understand our World,4,20,FALL,2023
MATH 191.001,MATH,Calculus I,4,12,FALL,2023
MATH 397.001,MATH,Chaos and Fractals,3,21,FALL,2023
CSCI 373.001,CSCI,Dynamic Data Visualization,3,14,SPRING,2023
MATH 251.001,MATH,Discrete Mathematics,3,22,SPRING,2023
MATH 291.001,MATH,Calculus III,4,8,SPRING,2023
MATH 491.001,MATH,Analysis I,3,12,FALL,2024
STAT 185.001,STAT,Introductory Statistics,4,21,FALL,2024
STAT 185.002,STAT,Introductory Statistics,4,24,FALL,2024
MATH 192.001,MATH,Calculus II,4,23,SPRING,2024
MATH 192.002,MATH,Calculus II,4,27,SPRING,2024
MATH 395.001,MATH,Partial Differential Equations,3,12,SPRING,2024
MATH 191.001,MATH,Calculus I,4,19,SPRING,2025
MATH 191.002,MATH,Calculus I,4,28,SPRING,2025
MATH 295.001,MATH,Math for Machine Learning,4,18,SPRING,2025
