team1_name,score1,rating1,team2_name,score2,rating2,rating_diff,label
Winthrop,95,1.284301998341843,SC_Upstate,76,-9.859514683761574,11.143816682103417,1
Presbyterian,68,-3.289192756264495,Longwood,60,0.5911436698131116,-3.880336426077607,1
High_Point,76,10.878500592729807,Radford,58,1.9918793520863989,8.88662124064341,1
Charleston_So,72,-2.4892989841421733,Gardner_Webb,63,-2.9471397057387114,0.4578407215965381,1
Radford,87,1.9918793520863989,Winthrop,67,1.284301998341843,0.7075773537445558,1
UNC_Asheville,103,3.839320516935793,High_Point,99,10.878500592729807,-7.039180075794016,1
Gardner_Webb,63,-2.9471397057387114,Presbyterian,61,-3.289192756264495,0.3420530505257835,1
Longwood,83,0.5911436698131116,Charleston_So,78,-2.4892989841421733,3.080442653955285,1
SC_Upstate,77,-9.859514683761574,Presbyterian,67,-3.289192756264495,-6.57032192749708,1
Longwood,85,0.5911436698131116,UNC_Asheville,76,3.839320516935793,-3.2481768471226813,1
Gardner_Webb,89,-2.9471397057387114,Winthrop,83,1.284301998341843,-4.231441704080554,1
High_Point,93,10.878500592729807,Charleston_So,79,-2.4892989841421733,13.367799576871985,1
Radford,80,1.9918793520863989,SC_Upstate,67,-9.859514683761574,11.851394035847973,1
UNC_Asheville,96,3.839320516935793,Presbyterian,87,-3.289192756264495,7.128513273200288,1
Winthrop,95,1.284301998341843,Longwood,76,0.5911436698131116,0.6931583285287315,1
High_Point,96,10.878500592729807,Gardner_Webb,55,-2.9471397057387114,13.82564029846852,1
UNC_Asheville,93,3.839320516935793,SC_Upstate,92,-9.859514683761574,13.698835200697369,1
Radford,79,1.9918793520863989,Gardner_Webb,75,-2.9471397057387114,4.93901905782511,1
Winthrop,102,1.284301998341843,Charleston_So,97,-2.4892989841421733,3.773600982484016,1
Longwood,82,0.5911436698131116,High_Point,80,10.878500592729807,-10.287356922916697,1
UNC_Asheville,93,3.839320516935793,Winthrop,84,1.284301998341843,2.55501851859395,1
High_Point,77,10.878500592729807,Presbyterian,66,-3.289192756264495,14.167693348994304,1
Gardner_Webb,97,-2.9471397057387114,SC_Upstate,68,-9.859514683761574,6.912374978022863,1
Charleston_So,58,-2.4892989841421733,Radford,54,1.9918793520863989,-4.481178336228572,1
Longwood,77,0.5911436698131116,Radford,74,1.9918793520863989,-1.4007356822732873,1
High_Point,86,10.878500592729807,SC_Upstate,77,-9.859514683761574,20.73801527649138,1
UNC_Asheville,61,3.839320516935793,Gardner_Webb,53,-2.9471397057387114,6.7864602226745045,1
Presbyterian,71,-3.289192756264495,Charleston_So,61,-2.4892989841421733,-0.7998937721223216,1
Radford,82,1.9918793520863989,Presbyterian,69,-3.289192756264495,5.281072108350894,1
Longwood,80,0.5911436698131116,SC_Upstate,54,-9.859514683761574,10.450658353574688,1
High_Point,84,10.878500592729807,Winthrop,62,1.284301998341843,9.594198594387963,1
UNC_Asheville,69,3.839320516935793,Charleston_So,61,-2.4892989841421733,6.3286195010779664,1
UNC_Asheville,72,3.839320516935793,Radford,65,1.9918793520863989,1.8474411648493945,1
Winthrop,76,1.284301998341843,Presbyterian,67,-3.289192756264495,4.5734947546063385,1
Gardner_Webb,92,-2.9471397057387114,Longwood,87,0.5911436698131116,-3.5382833755518237,1
Charleston_So,82,-2.4892989841421733,SC_Upstate,75,-9.859514683761574,7.370215699619401,1
Radford,79,1.9918793520863989,SC_Upstate,69,-9.859514683761574,11.851394035847973,1
High_Point,84,10.878500592729807,Presbyterian,72,-3.289192756264495,14.167693348994304,1
Winthrop,96,1.284301998341843,Gardner_Webb,93,-2.9471397057387114,4.231441704080554,1
Charleston_So,89,-2.4892989841421733,Longwood,85,0.5911436698131116,-3.080442653955285,1
Presbyterian,75,-3.289192756264495,SC_Upstate,64,-9.859514683761574,6.57032192749708,1
High_Point,78,10.878500592729807,Radford,75,1.9918793520863989,8.88662124064341,1
Winthrop,83,1.284301998341843,Charleston_So,65,-2.4892989841421733,3.773600982484016,1
UNC_Asheville,78,3.839320516935793,Gardner_Webb,70,-2.9471397057387114,6.7864602226745045,1
Winthrop,105,1.284301998341843,SC_Upstate,95,-9.859514683761574,11.143816682103417,1
Radford,71,1.9918793520863989,Longwood,69,0.5911436698131116,1.4007356822732873,1
High_Point,104,10.878500592729807,UNC_Asheville,100,3.839320516935793,7.039180075794016,1
Charleston_So,79,-2.4892989841421733,Gardner_Webb,72,-2.9471397057387114,0.4578407215965381,1
UNC_Asheville,92,3.839320516935793,SC_Upstate,85,-9.859514683761574,13.698835200697369,1
Winthrop,78,1.284301998341843,Radford,74,1.9918793520863989,-0.7075773537445558,1
Charleston_So,71,-2.4892989841421733,Presbyterian,70,-3.289192756264495,0.7998937721223216,1
SC_Upstate,76,1.284301998341843,Winthrop,95,-9.859514683761574,-11.143816682103417,0
Longwood,60,-3.289192756264495,Presbyterian,68,0.5911436698131116,3.880336426077607,0
Radford,58,10.878500592729807,High_Point,76,1.9918793520863989,-8.88662124064341,0
Gardner_Webb,63,-2.4892989841421733,Charleston_So,72,-2.9471397057387114,-0.4578407215965381,0
Winthrop,67,1.9918793520863989,Radford,87,1.284301998341843,-0.7075773537445558,0
High_Point,99,3.839320516935793,UNC_Asheville,103,10.878500592729807,7.039180075794016,0
Presbyterian,61,-2.9471397057387114,Gardner_Webb,63,-3.289192756264495,-0.3420530505257835,0
Charleston_So,78,0.5911436698131116,Longwood,83,-2.4892989841421733,-3.080442653955285,0
Presbyterian,67,-9.859514683761574,SC_Upstate,77,-3.289192756264495,6.57032192749708,0
