year,conf,WTeamName,WScore,LTeamName,LScore
2024,ACC,Florida_St,14,California,9
2024,ACC,Clemson,59,NC_State,35
2024,ACC,Louisville,31,Georgia_Tech,19
2024,ACC,Miami_FL,38,Virginia_Tech,34
2024,ACC,Clemson,40,Stanford,14
2024,ACC,Duke,21,North_Carolina,20
2024,ACC,SMU,42,Florida_St,16
2024,ACC,Miami_FL,39,California,38
2024,ACC,Georgia_Tech,24,Duke,14
2024,ACC,Pittsburgh,34,North_Carolina,24
2024,ACC,SMU,34,Louisville,27
2024,ACC,Virginia_Tech,31,Stanford,7
2024,ACC,Virginia,24,Boston_College,14
2024,ACC,Clemson,29,Florida_St,13
2024,ACC,Wake_Forest,34,NC_State,30
2024,ACC,Pittsburgh,17,California,15
2024,ACC,Syracuse,24,NC_State,17
2024,ACC,Clemson,49,Wake_Forest,14
2024,ACC,Georgia_Tech,41,North_Carolina,34
2024,ACC,Louisville,24,Virginia,20
2024,ACC,Virginia_Tech,42,Boston_College,21
2024,ACC,Duke,23,Florida_St,16
2024,ACC,NC_State,24,California,23
2024,ACC,SMU,40,Stanford,10
2024,ACC,Clemson,48,Virginia,31
2024,ACC,Miami_FL,52,Louisville,45
2024,ACC,Pittsburgh,41,Syracuse,13
2024,ACC,Louisville,31,Boston_College,27
2024,ACC,SMU,28,Duke,27
2024,ACC,Virginia_Tech,21,Georgia_Tech,6
2024,ACC,Miami_FL,36,Florida_St,14
2024,ACC,North_Carolina,41,Virginia,14
2024,ACC,Wake_Forest,27,Stanford,24
2024,ACC,Miami_FL,53,Duke,31
2024,ACC,SMU,48,Pittsburgh,25
2024,ACC,NC_State,59,Stanford,28
2024,ACC,Syracuse,38,Virginia_Tech,31
2024,ACC,Louisville,33,Clemson,21
2024,ACC,North_Carolina,35,Florida_St,11
2024,ACC,California,46,Wake_Forest,36
2024,ACC,Duke,29,NC_State,19
2024,ACC,Virginia,24,Pittsburgh,19
2024,ACC,Boston_College,37,Syracuse,31
2024,ACC,Clemson,24,Virginia_Tech,14
2024,ACC,Georgia_Tech,28,Miami_FL,23
2024,ACC,Syracuse,33,California,25
2024,ACC,Clemson,24,Pittsburgh,20
2024,ACC,SMU,38,Boston_College,28
2024,ACC,Stanford,38,Louisville,35
2024,ACC,North_Carolina,31,Wake_Forest,24
2024,ACC,Georgia_Tech,30,NC_State,29
2024,ACC,California,24,Stanford,21
2024,ACC,Duke,31,Virginia_Tech,28
2024,ACC,Louisville,37,Pittsburgh,9
