date,name1,score1,rating1,name2,score2,rating2
2025-12-31, Longwood,82,2.7777777777777777, Winthrop,70,5.333333333333333
2025-12-31, Radford,76,1.7222222222222223, SC_Upstate,69,-5.666666666666667
2025-12-31, High_Point,87,12.999999999999996, UNC_Asheville,69,0.16666666666666638
2025-12-31, Charleston_So,89,-1.1111111111111116, Gardner_Webb,79,-15.555555555555555
2026-01-03, Presbyterian,86,-0.6666666666666669, SC_Upstate,77,-5.666666666666667
2026-01-03, Charleston_So,86,-1.1111111111111116, UNC_Asheville,83,0.16666666666666638
2026-01-03, High_Point,80,12.999999999999996, Longwood,67,2.7777777777777777
2026-01-03, Winthrop,88,5.333333333333333, Gardner_Webb,77,-15.555555555555555
2026-01-07, Radford,80,1.7222222222222223, Presbyterian,61,-0.6666666666666669
2026-01-07, UNC_Asheville,72,0.16666666666666638, Longwood,61,2.7777777777777777
2026-01-07, High_Point,104,12.999999999999996, Gardner_Webb,49,-15.555555555555555
2026-01-07, Winthrop,81,5.333333333333333, Charleston_So,77,-1.1111111111111116
2026-01-10, Winthrop,71,5.333333333333333, SC_Upstate,50,-5.666666666666667
2026-01-10, UNC_Asheville,91,0.16666666666666638, Radford,72,1.7222222222222223
2026-01-10, Longwood,77,2.7777777777777777, Presbyterian,70,-0.6666666666666669
2026-01-10, High_Point,84,12.999999999999996, Charleston_So,82,-1.1111111111111116
2026-01-14, SC_Upstate,86,-5.666666666666667, Charleston_So,81,-1.1111111111111116
2026-01-14, Presbyterian,71,-0.6666666666666669, UNC_Asheville,70,0.16666666666666638
2026-01-14, Radford,89,1.7222222222222223, Gardner_Webb,80,-15.555555555555555
2026-01-14, Winthrop,92,5.333333333333333, High_Point,75,12.999999999999996
2026-01-17, Winthrop,69,5.333333333333333, UNC_Asheville,67,0.16666666666666638
2026-01-17, High_Point,89,12.999999999999996, SC_Upstate,69,-5.666666666666667
2026-01-17, Presbyterian,92,-0.6666666666666669, Gardner_Webb,55,-15.555555555555555
2026-01-17, Radford,85,1.7222222222222223, Longwood,83,2.7777777777777777
2026-01-21, UNC_Asheville,83,0.16666666666666638, SC_Upstate,69,-5.666666666666667
2026-01-21, Winthrop,76,5.333333333333333, Radford,75,1.7222222222222223
2026-01-21, Longwood,91,2.7777777777777777, Gardner_Webb,56,-15.555555555555555
2026-01-21, Presbyterian,87,-0.6666666666666669, Charleston_So,83,-1.1111111111111116
2026-01-23, Gardner_Webb,67,-15.555555555555555, SC_Upstate,65,-5.666666666666667
2026-01-23, High_Point,93,12.999999999999996, Radford,83,1.7222222222222223
2026-01-23, Longwood,81,2.7777777777777777, Charleston_So,79,-1.1111111111111116
2026-01-24, Winthrop,82,5.333333333333333, Presbyterian,72,-0.6666666666666669
2026-01-29, Radford,84,1.7222222222222223, Charleston_So,75,-1.1111111111111116
